Moment 1,Moment 2,Moment 3,Value 1,Value 2,Value 3,seed
0,1,9,0.0002223486836307417,0.00012228806900533055,2.8633487656644083e-06,1889913667
0,1,10,0.00035721526833564074,0.00020752263386535555,1.4280217836193264e-06,609734791
0,1,11,9.451466188155714e-05,5.577642188916924e-05,1.6964179318497054e-06,1364293681
0,1,12,5.528548690767988e-05,3.259448912049909e-05,1.4441477745201635e-06,1803988399
0,2,4,1.546468696398506e-05,4.566282216293201e-06,3.3590361108593355e-06,1443589825
0,2,5,1.9165604909231657e-05,7.460159785336771e-06,6.300382689168765e-07,1283664189
0,2,6,2.7736359900284098e-05,8.428504336338184e-06,7.796475314657957e-07,753382158
0,2,7,3.7740981803230236e-05,1.6575772712248855e-05,2.4585784353014153e-06,295259831
0,2,8,3.589940989257819e-05,1.4501752434885127e-05,3.4486974871620213e-06,1601301447
0,2,9,2.285867443405337e-05,8.340075274631927e-06,2.9267486402360534e-06,767185659
0,2,10,3.456006215309733e-05,1.983527776377998e-05,7.449966771197346e-06,24431952
0,2,11,3.048499693071268e-05,1.0478822534381317e-05,7.970938788196304e-07,139902978
0,2,12,3.7785012068643344e-05,1.6038139544501576e-05,1.739618451282932e-06,1084162937
0,4,5,1.2984176880353885e-05,1.1142215672901387e-06,1.0165982737762497e-06,630035049
0,4,6,1.3334048527248829e-05,9.967802424509216e-07,1.0191311973708839e-06,1269860830
0,4,7,3.130790139958944e-05,6.262881567402339e-06,3.0238415477964556e-06,610166163
0,4,8,1.3063964761703503e-05,2.9617472535093605e-06,1.246492323734482e-06,65519586
0,4,9,2.354824613366565e-05,1.5004790737981264e-06,5.230105750286087e-06,349562943
0,4,10,1.6736439574772402e-05,1.6131425029278383e-06,1.2047943776226212e-06,424529077
0,4,11,2.7620273232815395e-05,1.529504382306446e-06,8.181647002624966e-07,2058105115
0,4,12,1.7563676988108003e-05,8.270067615885788e-07,1.0494248053868109e-06,445837112
0,5,6,1.0503891845625322e-05,7.454566395299093e-07,9.081623014165661e-07,1659657454
0,5,7,9.41943371667264e-06,1.857759417021299e-06,1.4227146415634226e-06,451605873
0,5,8,1.4010590688190524e-05,7.3513429419136e-06,7.57484490983957e-06,1891782558
0,5,9,1.9926923209282034e-05,1.0484110109545264e-06,1.5274578995234474e-06,1640434608
0,5,10,2.288878527669875e-05,5.049949567953041e-06,3.074664762832169e-06,1738419503
0,5,11,4.374360904757493e-05,1.4339334269679081e-05,4.579001369380807e-06,156663463
0,5,12,2.100822933620569e-05,2.443681523319852e-06,1.7476691129362598e-06,1899466605
0,6,7,1.888514385319454e-05,1.4810594550621812e-06,1.4156401873474546e-06,1676804902
0,6,8,2.009337419831652e-05,2.0267538141433444e-06,1.923534591056833e-06,129378476
0,6,9,2.327698325684321e-05,1.724316161309381e-06,1.1585312304005596e-06,2065539346
0,6,10,1.897885210359439e-05,1.6784577930430896e-06,2.0551394797324054e-06,1185433792
0,6,11,3.006462262942443e-05,1.8857722462980482e-06,1.6358059809005086e-06,257448888
0,6,12,3.288336504831955e-05,1.0168221487159934e-06,8.968896369250151e-07,218864546
