Moment 1,Moment 2,Moment 3,Value 1,Value 2,Value 3,seed
0,1,10,4.871103227722839e-05,2.8881451471187505e-05,1.3455473044135104e-06,465475209
0,2,4,1.9051207409108454e-05,7.716630443903437e-06,1.477479986369106e-06,24984669
0,2,5,2.8234974677059536e-05,1.411157626116108e-05,1.9122318424149112e-06,943593558
0,2,6,6.808971848214344e-05,2.5212664443996224e-05,9.416385875266652e-07,1320372610
0,2,7,2.67809972442904e-05,9.802076496373257e-06,1.1182539488345557e-06,2055673499
0,2,8,0.00010751321899807933,2.386714213050677e-05,2.6614612917507763e-05,1933526892
0,2,9,0.00014273804999202964,6.342275036522023e-05,1.9056592794627568e-06,1338668932
0,2,10,6.63426185719709e-05,2.7445902699726958e-05,1.4165193286513867e-06,543975839
0,4,5,2.0893603071841453e-05,1.1928547856854896e-06,1.1099040202668077e-06,738481025
0,4,6,1.0565357481018235e-05,9.853178517238176e-07,8.611226954863519e-07,339250317
0,4,7,1.2510269197833415e-05,1.1001351613122344e-06,4.350528161022389e-06,1358174965
0,4,8,9.21391555701982e-06,5.51365748646539e-07,9.530235377676255e-07,1337251539
0,4,9,9.768643699527324e-06,8.218995218661673e-07,8.951329113534556e-07,1177137764
0,4,10,1.8986249370161847e-05,5.460888222811195e-06,1.7723132658468033e-06,568583172
0,5,6,1.2060057057215697e-05,1.3077630860628102e-06,1.7943137781985233e-06,1854155355
0,5,7,1.4822499500860246e-05,1.6277520656230577e-06,1.4766033194372975e-06,856240059
0,5,8,1.9615516849423636e-05,8.743190853572275e-07,1.157467509463911e-06,1889913667
0,5,9,9.406600859708391e-06,1.1880294897426878e-06,9.157017906094955e-07,609734791
0,5,10,2.8462413574190214e-05,1.382834527302275e-06,1.5428549297556124e-06,1364293681
0,6,7,1.795244395010797e-05,1.6522360542837418e-06,1.7469372081569237e-06,1803988399
0,6,8,2.3275134871925202e-05,3.140399320941321e-06,4.220323121592424e-06,1443589825
0,6,9,1.774414978903897e-05,1.6425382086171061e-06,1.4469979139653467e-06,1283664189
0,6,10,2.4488415627204088e-05,1.605960493940696e-06,1.2536684680210796e-06,753382158
0,7,8,6.72678804701011e-05,4.541339015745541e-06,4.953836217748606e-06,295259831
