Moment 1,Moment 2,Moment 3,Value 1,Value 2,Value 3,init_lr,weight_decay,layers,layer_width,activation,epochs
0,5,8,4.8134845812886544e-05,8.363655595351755e-06,4.896457933994884e-06,1e-05,1e-06,3,100,ReLU,200
0,5,8,0.0001172476871103848,3.078526688924485e-05,1.8669262326983656e-05,1e-05,1e-06,3,100,Tanh,200
0,5,8,3.9995822643569814e-05,4.437946983366471e-06,2.3101479955279953e-06,1e-05,1e-06,3,150,ReLU,200
0,5,8,9.934644877222039e-05,1.4429813128226544e-05,5.8799767849473285e-06,1e-05,1e-06,3,150,Tanh,200
0,5,8,8.971805791256111e-05,3.5126150559793476e-05,1.734689797844733e-05,1e-05,1e-06,5,25,ReLU,200
0,5,8,0.00014107325958298743,2.6608863541873022e-05,9.09453771578833e-06,1e-05,1e-06,5,25,Tanh,200
0,5,8,6.60736214184531e-05,1.3882616310165522e-05,9.548715694632823e-06,1e-05,1e-06,5,50,ReLU,200
0,5,8,0.0001123081286481253,2.2019101520226925e-05,9.887393960872922e-06,1e-05,1e-06,5,50,Tanh,200
0,5,8,4.449234791799211e-05,8.437530039925532e-06,1.0196046561320356e-05,1e-05,1e-06,5,100,ReLU,200
0,5,8,7.734986418956758e-05,8.476311730328977e-06,4.689409806662285e-06,1e-05,1e-06,5,100,Tanh,200
0,5,8,4.174721929042624e-05,4.741214546024278e-06,2.5677492900389536e-06,1e-05,1e-06,5,150,ReLU,200
0,5,8,6.314353496033822e-05,6.000335648907062e-06,3.6995492331218254e-06,1e-05,1e-06,5,150,Tanh,200
0,5,8,8.181832625313968e-05,9.100562729168236e-05,0.0001158570394561274,1e-05,1e-06,10,25,ReLU,200
0,5,8,0.00013531317759901874,0.00019545228102364545,0.0002374748849549141,1e-05,1e-06,10,25,Tanh,200
0,5,8,8.518997184800162e-05,1.6494266486285158e-05,6.472625201925606e-06,1e-05,1e-06,10,50,ReLU,200
0,5,8,0.00012970424457701133,9.178710554573607e-06,6.288009770860867e-06,1e-05,1e-06,10,50,Tanh,200
0,5,8,5.5852125429494346e-05,1.4420071549897196e-05,1.4807235003008951e-05,1e-05,1e-06,10,100,ReLU,200
0,5,8,0.00012927279916132757,8.437083282429202e-06,6.505192015028252e-06,1e-05,1e-06,10,100,Tanh,200
0,5,8,4.419789164818505e-05,5.03851937859237e-06,3.1028900920791637e-06,1e-05,1e-06,10,150,ReLU,200
0,5,8,0.00011967752733035423,6.584572070654897e-06,7.005018482641771e-06,1e-05,1e-06,10,150,Tanh,200
0,5,8,9.577721025234905e-05,6.679646007268126e-06,5.624946327940283e-06,0.0001,1e-08,2,25,ReLU,200
0,5,8,7.858677729972926e-05,2.4401169462497324e-06,1.999413074857721e-06,0.0001,1e-08,2,25,Tanh,200
0,5,8,3.3679927165214816e-05,1.9338873145402877e-05,1.8380580096765742e-05,0.0001,1e-08,2,50,ReLU,200
0,5,8,9.971341324396684e-05,1.6534538654326138e-05,7.989944375092447e-06,0.0001,1e-08,2,50,Tanh,200
0,5,8,1.934245096930942e-05,9.178792527765604e-07,9.82665133988995e-07,0.0001,1e-08,2,100,ReLU,200
0,5,8,4.041815853259681e-05,1.4775535833199084e-06,1.907989387847584e-06,0.0001,1e-08,2,100,Tanh,200
0,5,8,1.8752330645770047e-05,1.2156398523599894e-06,8.578251008866712e-07,0.0001,1e-08,2,150,ReLU,200
0,5,8,3.896446639536276e-05,2.811288742394653e-06,3.440597526277333e-06,0.0001,1e-08,2,150,Tanh,200
0,5,8,5.390872279294155e-05,1.2094912452988305e-05,1.1853594629723026e-05,0.0001,1e-08,3,25,ReLU,200
0,5,8,5.351796512886012e-05,3.182336435295661e-06,1.7687069094432092e-06,0.0001,1e-08,3,25,Tanh,200
0,5,8,4.1217255950797485e-05,3.2325696194288526e-06,1.9654444387920774e-06,0.0001,1e-08,3,50,ReLU,200
0,5,8,4.277442218917712e-05,2.288533084161803e-06,1.4891127121352083e-06,0.0001,1e-08,3,50,Tanh,200
0,5,8,1.7307322504024366e-05,1.6163337650843821e-06,1.8426843888500355e-06,0.0001,1e-08,3,100,ReLU,200
0,5,8,5.051878861306038e-05,1.0612828327928307e-05,2.204416518341289e-06,0.0001,1e-08,3,100,Tanh,200
0,5,8,3.6086874290602975e-05,3.567354953083737e-05,2.1968291209053755e-05,0.0001,1e-08,3,150,ReLU,200
0,5,8,5.472061292458858e-05,8.658643086202521e-07,8.696767157271215e-07,0.0001,1e-08,3,150,Tanh,200
0,5,8,5.151963373991415e-05,9.653478306481201e-06,7.222246198562447e-06,0.0001,1e-08,5,25,ReLU,200
0,5,8,9.251725868675371e-05,5.139246081290514e-06,2.634903257716325e-06,0.0001,1e-08,5,25,Tanh,200
0,5,8,3.9170930580601366e-05,5.630696690372938e-06,2.0007078434413104e-06,0.0001,1e-08,5,50,ReLU,200
0,5,8,7.172497314259589e-05,8.175258369410255e-06,5.587385856079083e-06,0.0001,1e-08,5,50,Tanh,200
0,5,8,2.3035718013323005e-05,4.60312784484665e-06,3.373091711092527e-06,0.0001,1e-08,5,100,ReLU,200
0,5,8,3.131534846176837e-05,1.871871303052234e-06,2.527388238445126e-06,0.0001,1e-08,5,100,Tanh,200
0,5,8,1.5041698332214636e-05,6.034795526376636e-06,3.3201564601293525e-06,0.0001,1e-08,5,150,ReLU,200
0,5,8,1.9871229440971668e-05,2.016608124763215e-06,2.36363545540859e-06,0.0001,1e-08,5,150,Tanh,200
0,5,8,5.768661308878673e-05,9.304800452354235e-06,4.6836140147616695e-06,0.0001,1e-08,10,25,ReLU,200
0,5,8,9.990129699320319e-05,3.850403536810979e-06,2.200656525699195e-06,0.0001,1e-08,10,25,Tanh,200
0,5,8,5.974108831696109e-05,2.232449938734913e-05,1.1854633300320062e-05,0.0001,1e-08,10,50,ReLU,200
0,5,8,4.004758956011708e-05,7.625722660644711e-06,1.932461482501844e-05,0.0001,1e-08,10,50,Tanh,200
0,5,8,2.3391136495325866e-05,7.219797545046483e-06,5.875300826133949e-06,0.0001,1e-08,10,100,ReLU,200
0,5,8,2.3534456204521146e-05,2.722013323500191e-06,2.3881154018280555e-06,0.0001,1e-08,10,100,Tanh,200
0,5,8,2.6834817224024025e-05,1.3408959045155107e-06,1.4844502002739227e-06,0.0001,1e-08,10,150,ReLU,200
0,5,8,4.994944745128852e-05,1.7910804346169041e-06,2.6598026120707667e-06,0.0001,1e-08,10,150,Tanh,200
0,5,8,7.024810379278297e-05,7.090872597596933e-06,3.5875724477947573e-06,0.0001,1e-07,2,25,ReLU,200
0,5,8,6.317594595315048e-05,5.063313784463652e-06,3.7524452826527393e-06,0.0001,1e-07,2,25,Tanh,200
0,5,8,3.7014313821499516e-05,3.95406102112036e-06,3.9180297341827415e-06,0.0001,1e-07,2,50,ReLU,200
0,5,8,7.024758632457703e-05,1.9317656857312937e-06,1.9167602681342233e-06,0.0001,1e-07,2,50,Tanh,200
0,5,8,4.602036985425992e-05,2.3769524803182746e-06,1.8970511380615128e-06,0.0001,1e-07,2,100,ReLU,200
0,5,8,5.066754273129711e-05,3.640008673518463e-06,2.7561322038882197e-06,0.0001,1e-07,2,100,Tanh,200
0,5,8,2.4109945993926625e-05,6.7201768009382645e-06,7.037323761581068e-06,0.0001,1e-07,2,150,ReLU,200
0,5,8,5.2212304651711045e-05,1.674111283209462e-05,9.200141138062761e-06,0.0001,1e-07,2,150,Tanh,200
0,5,8,4.2704521311936595e-05,6.099075426329169e-06,3.966959584513154e-06,0.0001,1e-07,3,25,ReLU,200
0,5,8,8.434944528696502e-05,2.9365165022106483e-06,2.2134726181514305e-06,0.0001,1e-07,3,25,Tanh,200
0,5,8,4.459986895260256e-05,4.360735209282722e-06,2.7877472457076716e-06,0.0001,1e-07,3,50,ReLU,200
0,5,8,5.575311466701727e-05,2.2155780530073073e-06,1.543926366488511e-06,0.0001,1e-07,3,50,Tanh,200
0,5,8,2.3695828710292977e-05,9.933051351335927e-07,1.376033493335274e-06,0.0001,1e-07,3,100,ReLU,200
0,5,8,3.859808303555254e-05,8.88816143515913e-06,7.465773552831011e-06,0.0001,1e-07,3,100,Tanh,200
0,5,8,1.9684018196077786e-05,2.722213027282197e-06,1.390672105209502e-06,0.0001,1e-07,3,150,ReLU,200
0,5,8,4.071467427372406e-05,2.3959682008919433e-06,2.5845228970533744e-06,0.0001,1e-07,3,150,Tanh,200
0,5,8,7.973691012741665e-05,1.0142570816582285e-05,5.596338212014842e-06,0.0001,1e-07,5,25,ReLU,200
0,5,8,5.6223484142740804e-05,3.714090339441655e-06,2.18957828673706e-06,0.0001,1e-07,5,25,Tanh,200
0,5,8,3.045578289488394e-05,2.6815082117021457e-06,1.939703279266473e-06,0.0001,1e-07,5,50,ReLU,200
0,5,8,6.0111411613664086e-05,1.076371095406194e-05,2.752628127426481e-05,0.0001,1e-07,5,50,Tanh,200
0,5,8,2.6868572522030914e-05,1.1641713918995717e-06,1.166635485413669e-06,0.0001,1e-07,5,100,ReLU,200
0,5,8,5.013602858337069e-05,2.990426937280301e-06,3.794276639820097e-06,0.0001,1e-07,5,100,Tanh,200
0,5,8,1.6826358096720474e-05,5.992564785375849e-06,4.740812659579976e-06,0.0001,1e-07,5,150,ReLU,200
0,5,8,3.747914368907475e-05,1.3571498622765948e-05,1.0766732308162176e-05,0.0001,1e-07,5,150,Tanh,200
0,5,8,5.933147994496383e-05,1.1340474236454065e-05,6.02686261539955e-06,0.0001,1e-07,10,25,ReLU,200
0,5,8,5.577698440214202e-05,1.5128443937917363e-05,1.2563306817721012e-05,0.0001,1e-07,10,25,Tanh,200
0,5,8,3.9281487272188065e-05,2.5496699547187512e-05,1.3808940291657152e-05,0.0001,1e-07,10,50,ReLU,200
0,5,8,4.480891870600484e-05,7.580938129906831e-06,1.1995856193444628e-05,0.0001,1e-07,10,50,Tanh,200
0,5,8,4.100800293650371e-05,4.425308988499148e-06,4.563834423439605e-06,0.0001,1e-07,10,100,ReLU,200
0,5,8,2.4263496816105062e-05,2.272964520229575e-06,1.728769114995711e-06,0.0001,1e-07,10,100,Tanh,200
0,5,8,2.0904796161532587e-05,1.2646078090333864e-06,2.781760927871713e-06,0.0001,1e-07,10,150,ReLU,200
0,5,8,4.172415677575257e-05,4.587871407892059e-06,1.120791456795493e-05,0.0001,1e-07,10,150,Tanh,200
0,5,8,6.284195572975696e-05,1.225911829482297e-05,9.328505887128411e-06,0.0001,1e-06,2,25,ReLU,200
0,5,8,7.894580823962225e-05,1.0320022694993221e-05,3.7511712742896073e-06,0.0001,1e-06,2,25,Tanh,200
0,5,8,4.322107567782801e-05,6.873301535981827e-06,4.615566423673202e-06,0.0001,1e-06,2,50,ReLU,200
0,5,8,6.396479338205476e-05,1.001189647773422e-05,5.530258234935217e-06,0.0001,1e-06,2,50,Tanh,200
0,5,8,5.210943295660851e-05,4.2249309986089955e-06,2.7935329742366873e-06,0.0001,1e-06,2,100,ReLU,200
0,5,8,5.711855981459422e-05,9.101983719953169e-06,8.385979315478988e-06,0.0001,1e-06,2,100,Tanh,200
0,5,8,3.4424403199116856e-05,5.109614013548946e-06,5.0496431943884295e-06,0.0001,1e-06,2,150,ReLU,200
0,5,8,5.7404280784806926e-05,6.4805805210410415e-06,5.500999369630551e-06,0.0001,1e-06,2,150,Tanh,200
0,5,8,6.494951448039374e-05,2.449579259980952e-05,1.6142244002875853e-05,0.0001,1e-06,3,25,ReLU,200
0,5,8,7.402175717409078e-05,5.532633709259741e-06,2.863489005346549e-06,0.0001,1e-06,3,25,Tanh,200
0,5,8,4.662126552205204e-05,5.914229483161049e-06,4.348985950445462e-06,0.0001,1e-06,3,50,ReLU,200
0,5,8,7.132312518021672e-05,4.642840748692483e-06,2.9935578802837646e-06,0.0001,1e-06,3,50,Tanh,200
0,5,8,3.42131340083606e-05,3.0873895664572004e-06,2.624513939436094e-06,0.0001,1e-06,3,100,ReLU,200
0,5,8,8.811239682227861e-05,3.4382237134288014e-06,3.1957771663136113e-06,0.0001,1e-06,3,100,Tanh,200
