Moment 1,Moment 2,Moment 3,Value 1,Value 2,Value 3
0,5,7,7.681645649168837e-05,1.3761344868003663e-06,1.4498724100745283e-06
0,5,8,5.427906147560595e-05,2.192078100246657e-06,1.2176141459860854e-06
0,5,9,6.639079296193596e-05,2.5513222646042038e-06,4.099877838745419e-06
0,5,10,6.619456733360904e-05,6.495532056406272e-06,1.6159362247481698e-05
0,5,11,6.14656446812144e-05,6.313615970283104e-06,3.679998591629868e-06
0,5,12,7.129681662119488e-05,2.123264600841676e-05,2.521337684745844e-05
0,6,7,0.0001390799430478154,2.1521471485739483e-06,1.4534819818162332e-06
0,6,8,0.00012365773542164296,2.6203547151442036e-06,1.4875330913413863e-06
0,6,9,0.00010411403693189283,1.6799187737584524e-06,2.433462144653876e-06
0,6,10,0.0002370841245540925,2.797106032241529e-06,2.0283046869426015e-06
0,6,11,9.80600128588502e-05,2.9566035651645975e-06,1.6668568513365488e-06
0,6,12,0.00026051893546715665,3.0493102481063082e-06,2.058915334671517e-06
0,7,8,0.00028304682404866797,2.9949348647768463e-06,3.8916351884566536e-06
0,7,9,0.00030871232094491886,8.112580274915407e-06,1.8503584229568568e-05
0,7,10,0.0002938285332345124,1.7350312927221919e-06,1.3915262750560974e-06
0,7,11,0.0002716237983474387,1.4015511189669307e-05,2.994297374865249e-06
0,7,12,0.00028947597613771263,5.328738381110569e-06,4.7515219653274055e-06
0,8,9,0.0005820601805408315,3.445019411636102e-06,3.428266293147045e-06
0,8,10,0.0005294288693298562,2.581380473154376e-06,1.9089683277473323e-06
0,8,11,0.0005616222384118039,3.2214614963635534e-06,2.2776833870395016e-06
0,8,12,0.000585551459390765,4.9333538332987974e-06,2.0652504229319987e-06
0,9,10,0.0005481050477514397,4.1663588815040344e-06,3.1418884274290908e-06
0,9,11,0.000538404323553493,1.6660683124578034e-06,1.2063300826908166e-06
0,9,12,0.0005793039352706853,5.097022485829252e-06,2.3393773686202463e-06
0,10,11,0.0005769186287440834,1.7655113488849059e-06,1.7850264513964654e-06
0,10,12,0.0006341264904000058,6.536108483281331e-06,5.492215627988411e-06
0,11,12,0.0005855841336547275,1.8890203863873027e-06,1.3486262197621812e-06
