Moment 1,Moment 2,Moment 3,Value 1,Value 2,Value 3,init_lr,weight_decay,layers,layer_width,activation,epochs
0,5,8,7.125034913029212e-05,3.6868171193243615e-06,4.49154812461051e-06,0.0001,1e-08,2,50,Tanh,200
0,5,8,0.00013601699423429725,3.910696141895702e-05,1.176068807695877e-05,0.0001,1e-08,3,10,ReLU,100
0,5,8,0.00010746619020094895,2.956669510008572e-05,1.6063692667185184e-05,0.0001,1e-08,3,10,ReLU,200
0,5,8,0.00011124275098396301,3.032369999227835e-05,8.431237755136597e-06,0.0001,1e-08,3,10,Tanh,100
0,5,8,0.00012230201478276287,2.36420984468805e-05,5.792385436262531e-06,0.0001,1e-08,3,10,Tanh,200
0,5,8,5.4626931213522175e-05,3.218948096188208e-06,2.439785951498263e-06,0.0001,1e-08,3,50,ReLU,100
0,5,8,3.7823945766657434e-05,8.924870680974872e-06,8.93555422819146e-06,0.0001,1e-08,3,50,ReLU,200
0,5,8,6.225182409311831e-05,7.641730262460096e-06,8.665084877925346e-06,0.0001,1e-08,3,50,Tanh,100
0,5,8,6.21717601610803e-05,3.6360095882970316e-06,2.3173936934633803e-06,0.0001,1e-08,3,50,Tanh,200
0,5,8,0.00010425806877018535,4.216425410215116e-05,2.1870146363945112e-05,0.0001,1e-07,1,10,ReLU,100
0,5,8,0.0001502986915563604,3.464615865666832e-05,1.7607791855524774e-05,0.0001,1e-07,1,10,ReLU,200
0,5,8,0.00015206229424082846,6.896409936528271e-05,9.358175392592165e-05,0.0001,1e-07,1,10,Tanh,100
0,5,8,0.00012327455712332147,2.1378429784585665e-05,1.1329996341378177e-05,0.0001,1e-07,1,10,Tanh,200
0,5,8,5.4578636164102826e-05,6.24027463756026e-06,3.5615967504846775e-06,0.0001,1e-07,1,50,ReLU,100
0,5,8,4.821538531135765e-05,7.638865597820857e-06,8.195302630373078e-06,0.0001,1e-07,1,50,ReLU,200
0,5,8,0.0001019878798426561,3.221781709217493e-05,1.0046338816146419e-05,0.0001,1e-07,1,50,Tanh,100
0,5,8,8.050174391885557e-05,1.2074038790699492e-05,3.558026202289601e-06,0.0001,1e-07,1,50,Tanh,200
0,5,8,0.0001334392609592986,7.043026222867832e-05,4.90914633211671e-05,0.0001,1e-07,2,10,ReLU,100
0,5,8,7.228050660141043e-05,3.175436191011119e-05,3.0109915055674983e-05,0.0001,1e-07,2,10,ReLU,200
0,5,8,0.00013560912126993948,3.194469652638436e-05,8.409492326117669e-06,0.0001,1e-07,2,10,Tanh,100
0,5,8,9.306521592643197e-05,2.5347806176398573e-05,1.0134583222967469e-05,0.0001,1e-07,2,10,Tanh,200
0,5,8,5.1163314769287815e-05,4.505856023841469e-06,2.979357956691706e-06,0.0001,1e-07,2,50,ReLU,100
0,5,8,3.5320704001375425e-05,3.1852011165523386e-06,1.9724451348273437e-06,0.0001,1e-07,2,50,ReLU,200
0,5,8,8.548985691709962e-05,1.1843522630999293e-05,7.74032157717251e-06,0.0001,1e-07,2,50,Tanh,100
0,5,8,5.2967373678109624e-05,1.2972800652487008e-05,1.5677651317556372e-05,0.0001,1e-07,2,50,Tanh,200
0,5,8,0.0001420748760055772,5.8667743554026055e-05,2.0665256711887302e-05,0.0001,1e-07,3,10,ReLU,100
0,5,8,8.738371700239805e-05,1.9840868903734252e-05,1.1346026973173369e-05,0.0001,1e-07,3,10,ReLU,200
0,5,8,0.0001481549332421876,2.6201831126831168e-05,6.607457236631999e-06,0.0001,1e-07,3,10,Tanh,100
0,5,8,0.00010523139215242511,1.2152945699916975e-05,5.726000344767846e-06,0.0001,1e-07,3,10,Tanh,200
0,5,8,4.282649158876933e-05,3.98311032321375e-06,3.6790270643989887e-06,0.0001,1e-07,3,50,ReLU,100
0,5,8,4.993138242700155e-05,1.6203871374903883e-06,2.31790495906264e-06,0.0001,1e-07,3,50,ReLU,200
0,5,8,7.985306230353905e-05,4.945340941068686e-06,6.783185314469039e-06,0.0001,1e-07,3,50,Tanh,100
0,5,8,4.6886623413335e-05,2.5345990737748583e-06,1.4624732006551363e-06,0.0001,1e-07,3,50,Tanh,200
0,5,8,0.00011476685674041148,8.204144163475304e-05,6.696768826129043e-05,0.001,1e-08,1,10,ReLU,100
0,5,8,0.0002159237856631707,3.650248803977351e-05,1.7214872053333098e-05,0.001,1e-08,1,10,ReLU,200
0,5,8,7.717040428428126e-05,6.739694958262559e-06,5.847929098764644e-06,0.001,1e-08,1,10,Tanh,100
0,5,8,8.602627326025593e-05,4.9152148456980605e-06,2.406861671256276e-06,0.001,1e-08,1,10,Tanh,200
0,5,8,0.00011591641298313439,1.5115832732484148e-05,5.642502419185791e-06,0.001,1e-08,1,50,ReLU,100
0,5,8,7.008464044044939e-05,5.865947497126323e-06,3.833840647441541e-06,0.001,1e-08,1,50,ReLU,200
0,5,8,7.381053455077273e-05,4.844941145294657e-06,4.231223430290375e-06,0.001,1e-08,1,50,Tanh,100
0,5,8,5.028035376840598e-05,3.0260385489985087e-06,3.524158067320554e-06,0.001,1e-08,1,50,Tanh,200
0,5,8,0.000140364954105674,3.102560307326607e-05,1.6562840464087227e-05,0.001,1e-08,2,10,ReLU,100
0,5,8,5.073545658845717e-05,1.4464061133100678e-05,9.043371440832542e-06,0.001,1e-08,2,10,ReLU,200
0,5,8,9.412859670895947e-05,7.009264148615483e-06,2.9851053764214485e-06,0.001,1e-08,2,10,Tanh,100
0,5,8,5.0000151370305426e-05,1.2528691620066313e-05,1.541238555746129e-05,0.001,1e-08,2,10,Tanh,200
0,5,8,4.189728238155055e-05,6.102365283652019e-06,6.321163574140345e-06,0.001,1e-08,2,50,ReLU,100
0,5,8,3.1491288594638246e-05,3.7602309927835806e-06,2.706020623463079e-06,0.001,1e-08,2,50,ReLU,200
0,5,8,5.272834708787694e-05,3.908593213038264e-06,6.530146506305927e-06,0.001,1e-08,2,50,Tanh,100
0,5,8,6.416978487613774e-05,6.907443009677846e-05,3.985203465632156e-05,0.001,1e-08,2,50,Tanh,200
0,5,8,0.00017527750364538703,2.60746895327491e-05,1.4782590830717282e-05,0.001,1e-08,3,10,ReLU,100
0,5,8,0.00017386215065172644,3.675607404748226e-05,3.39359037242322e-05,0.001,1e-08,3,10,ReLU,200
0,5,8,0.00011679382160245062,1.2003965419928164e-05,4.12808287147906e-06,0.001,1e-08,3,10,Tanh,100
0,5,8,4.814368267658933e-05,2.0134285878616218e-05,1.3339596407762876e-05,0.001,1e-08,3,10,Tanh,200
0,5,8,6.820068253705422e-05,1.2479935727053196e-05,6.774184456959685e-06,0.001,1e-08,3,50,ReLU,100
0,5,8,3.292974134600858e-05,3.421503149801718e-06,3.8131659229759793e-06,0.001,1e-08,3,50,ReLU,200
0,5,8,4.849823983866662e-05,4.38076110340903e-06,4.939534541355838e-06,0.001,1e-08,3,50,Tanh,100
0,5,8,6.822797901030224e-05,1.0895064671478982e-05,5.25527364308867e-06,0.001,1e-08,3,50,Tanh,200
0,5,8,0.00012027217262539361,5.936330293293978e-05,2.438598230308612e-05,0.001,1e-07,1,10,ReLU,100
0,5,8,8.320533684793969e-05,2.4894800598009832e-05,7.705492034674474e-06,0.001,1e-07,1,10,ReLU,200
0,5,8,9.063415567656678e-05,1.4454283502021998e-05,1.5228370118180906e-05,0.001,1e-07,1,10,Tanh,100
0,5,8,0.00010854305340969329,5.5342932361826535e-06,4.990539388215514e-06,0.001,1e-07,1,10,Tanh,200
0,5,8,5.957110566201727e-05,9.745423994855998e-06,1.1626138429823133e-05,0.001,1e-07,1,50,ReLU,100
0,5,8,4.948458312468553e-05,4.552420998144976e-06,3.6905252058498327e-06,0.001,1e-07,1,50,ReLU,200
0,5,8,8.771715812589184e-05,6.675111841172527e-06,2.2529352005457962e-05,0.001,1e-07,1,50,Tanh,100
0,5,8,5.7209563074352336e-05,5.053013972304432e-06,4.958023694007934e-06,0.001,1e-07,1,50,Tanh,200
0,5,8,0.00011140928497838521,2.8024928097128045e-05,1.4561936500391248e-05,0.001,1e-07,2,10,ReLU,100
0,5,8,9.135094145382229e-05,2.6127019179772166e-05,1.3912621937070048e-05,0.001,1e-07,2,10,ReLU,200
0,5,8,0.00011330996459167105,8.684276251236705e-06,9.057094918844736e-06,0.001,1e-07,2,10,Tanh,100
0,5,8,7.693292405385954e-05,4.755042186545833e-06,2.9183864987121093e-06,0.001,1e-07,2,10,Tanh,200
0,5,8,0.00020879086906697332,1.1747411872141239e-05,2.156668194772558e-05,0.001,1e-07,2,50,ReLU,100
0,5,8,4.493857834363527e-05,4.500808585264214e-06,2.2573457142926677e-06,0.001,1e-07,2,50,ReLU,200
0,5,8,0.00010348184527121425,8.602543524639087e-06,5.6874314614468154e-06,0.001,1e-07,2,50,Tanh,100
0,5,8,9.700441669577302e-05,5.415563523891615e-06,5.783167388568485e-06,0.001,1e-07,2,50,Tanh,200
0,5,8,7.942846210219947e-05,1.9420354129622003e-05,7.58084178914717e-06,0.001,1e-07,3,10,ReLU,100
0,5,8,6.881616934570348e-05,1.629455433449129e-05,7.7240679276662e-06,0.001,1e-07,3,10,ReLU,200
0,5,8,0.0001150393482644669,1.725161789459414e-05,1.2930503249951065e-05,0.001,1e-07,3,10,Tanh,100
0,5,8,6.0684508310949203e-05,4.752139885861921e-06,5.697959996262103e-06,0.001,1e-07,3,10,Tanh,200
0,5,8,0.00012713586160865983,7.039817037290024e-05,1.4928371957896468e-05,0.001,1e-07,3,50,ReLU,100
0,5,8,9.044307788893216e-05,4.831862446059872e-06,3.747571223917218e-06,0.001,1e-07,3,50,ReLU,200
0,5,8,6.503060909141619e-05,4.812214860931148e-06,4.267150274157081e-06,0.001,1e-07,3,50,Tanh,100
0,5,8,5.62473201002186e-05,2.688897517474403e-06,4.611890688873459e-06,0.001,1e-07,3,50,Tanh,200
